Latitude_back72hr_30m[][0] Latitude_back72hr_30m[][1] Latitude_back72hr_30m[][2] Latitude_back72hr_30m[][3] Latitude_back72hr_30m[][4] Latitude_back72hr_30m[][5] Latitude_back72hr_30m[][6] Latitude_back72hr_30m[][7] Latitude_back72hr_30m[][8] Latitude_back72hr_30m[][9] Latitude_back72hr_30m[][10] Latitude_back72hr_30m[][11] Latitude_back72hr_30m[][12] Latitude_back72hr_30m[][13] Latitude_back72hr_30m[][14] Latitude_back72hr_30m[][15] Latitude_back72hr_30m[][16] Latitude_back72hr_30m[][17] Latitude_back72hr_30m[][18] Latitude_back72hr_30m[][19] Latitude_back72hr_30m[][20] Latitude_back72hr_30m[][21] Latitude_back72hr_30m[][22] Latitude_back72hr_30m[][23] Latitude_back72hr_30m[][24] Latitude_back72hr_30m[][25] Latitude_back72hr_30m[][26] Latitude_back72hr_30m[][27] Latitude_back72hr_30m[][28] Latitude_back72hr_30m[][29] Latitude_back72hr_30m[][30] Latitude_back72hr_30m[][31] Latitude_back72hr_30m[][32] Latitude_back72hr_30m[][33] Latitude_back72hr_30m[][34] Latitude_back72hr_30m[][35] Latitude_back72hr_30m[][36] Latitude_back72hr_30m[][37] Latitude_back72hr_30m[][38] Latitude_back72hr_30m[][39] Latitude_back72hr_30m[][40] Latitude_back72hr_30m[][41] Latitude_back72hr_30m[][42] Latitude_back72hr_30m[][43] Latitude_back72hr_30m[][44] Latitude_back72hr_30m[][45] Latitude_back72hr_30m[][46] Latitude_back72hr_30m[][47] Latitude_back72hr_30m[][48] Latitude_back72hr_30m[][49] Latitude_back72hr_30m[][50] Latitude_back72hr_30m[][51] Latitude_back72hr_30m[][52] Latitude_back72hr_30m[][53] Latitude_back72hr_30m[][54] Latitude_back72hr_30m[][55] Latitude_back72hr_30m[][56] Latitude_back72hr_30m[][57] Latitude_back72hr_30m[][58] Latitude_back72hr_30m[][59] Latitude_back72hr_30m[][60] Latitude_back72hr_30m[][61] Latitude_back72hr_30m[][62] Latitude_back72hr_30m[][63] Latitude_back72hr_30m[][64] Latitude_back72hr_30m[][65] Latitude_back72hr_30m[][66] Latitude_back72hr_30m[][67] Latitude_back72hr_30m[][68] Latitude_back72hr_30m[][69] Latitude_back72hr_30m[][70] Latitude_back72hr_30m[][71] Latitude_back72hr_30m[][72]
40.8 40.72 40.653 40.603 40.566 40.545 40.537 40.543 40.561 40.576 40.576 40.563 40.538 40.504 40.467 40.43 40.38 40.313 40.237 40.148 40.054 39.955 39.874 39.81 39.761 39.726 39.701 39.663 39.597 39.513 39.415 39.301 39.164 39.006 38.835 38.653 38.473 38.308 38.167 38.056 37.969 37.895 37.826 37.757 37.687 37.618 37.549 37.478 37.405 37.326 37.243 37.145 37.024 36.877 36.701 36.496 36.26 36.017 35.79 35.58 35.39 35.226 35.09 34.973 34.858 34.741 34.625 34.51 34.395 34.273 34.138 33.99 33.83
40.8 40.71 40.631 40.57 40.53 40.506 40.498 40.505 40.524 40.548 40.562 40.56 40.542 40.512 40.473 40.43 40.388 40.341 40.279 40.198 40.107 40.014 39.914 39.828 39.754 39.69 39.632 39.576 39.503 39.409 39.303 39.182 39.041 38.877 38.694 38.499 38.295 38.09 37.886 37.689 37.501 37.325 37.161 37.01 36.872 36.742 36.613 36.475 36.33 36.178 36.018 35.852 35.672 35.469 35.246 35.008 34.76 34.506 34.262 34.037 33.828 33.632 33.446 33.268 33.099 32.942 32.801 32.678 32.577 32.496 32.416 32.323 32.219
40.8 40.7 40.608 40.533 40.482 40.455 40.444 40.451 40.472 40.498 40.522 40.535 40.529 40.507 40.471 40.425 40.379 40.333 40.277 40.2 40.101 39.988 39.866 39.744 39.634 39.533 39.438 39.346 39.262 39.175 39.068 38.939 38.787 38.608 38.4 38.174 37.946 37.718 37.494 37.276 37.066 36.863 36.666 36.474 36.284 36.094 35.904 35.709 35.509 35.306 35.104 34.9 34.693 34.477 34.251 34.018 33.782 33.546 33.309 33.08 32.863 32.659 32.468 32.29 32.124 31.969 31.829 31.705 31.6 31.512 31.44 31.372 31.3
40.8 40.69 40.586 40.496 40.43 40.391 40.378 40.384 40.407 40.435 40.462 40.486 40.497 40.487 40.457 40.412 40.36 40.311 40.265 40.201 40.105 39.994 39.871 39.732 39.594 39.469 39.354 39.248 39.158 39.084 39.006 38.904 38.778 38.625 38.443 38.231 38 37.767 37.534 37.304 37.08 36.865 36.659 36.458 36.259 36.061 35.863 35.662 35.457 35.252 35.048 34.845 34.638 34.427 34.207 33.978 33.747 33.518 33.289 33.06 32.838 32.629 32.433 32.25 32.079 31.92 31.773 31.64 31.523 31.425 31.345 31.284 31.229
40.8 40.681 40.563 40.459 40.376 40.322 40.299 40.304 40.329 40.361 40.392 40.421 40.446 40.455 40.436 40.394 40.339 40.282 40.23 40.184 40.107 40.003 39.898 39.773 39.623 39.474 39.336 39.21 39.102 39.019 38.955 38.885 38.789 38.665 38.514 38.334 38.121 37.886 37.647 37.407 37.17 36.939 36.718 36.505 36.298 36.093 35.888 35.682 35.473 35.265 35.061 34.858 34.653 34.444 34.228 34.003 33.774 33.547 33.322 33.097 32.872 32.654 32.45 32.26 32.085 31.922 31.772 31.634 31.509 31.4 31.308 31.234 31.178
40.8 40.691 40.582 40.479 40.382 40.294 40.215 40.146 40.09 40.054 40.039 40.047 40.075 40.115 40.146 40.159 40.155 40.136 40.108 40.073 40.035 39.991 39.94 39.881 39.811 39.735 39.667 39.619 39.589 39.578 39.582 39.599 39.603 39.569 39.504 39.414 39.305 39.178 39.033 38.873 38.7 38.516 38.329 38.149 37.988 37.852 37.734 37.632 37.542 37.461 37.381 37.292 37.196 37.092 36.982 36.865 36.734 36.58 36.401 36.193 35.953 35.68 35.399 35.144 34.916 34.714 34.534 34.374 34.231 34.101 33.983 33.877 33.783
40.8 40.701 40.593 40.484 40.381 40.286 40.2 40.124 40.058 40.009 39.979 39.97 39.982 40.012 40.052 40.084 40.097 40.093 40.074 40.043 40.005 39.965 39.923 39.875 39.815 39.744 39.668 39.599 39.551 39.523 39.513 39.519 39.539 39.542 39.506 39.438 39.347 39.236 39.106 38.958 38.794 38.617 38.43 38.241 38.059 37.895 37.752 37.629 37.521 37.425 37.338 37.248 37.15 37.045 36.933 36.815 36.69 36.553 36.392 36.205 35.991 35.745 35.467 35.187 34.937 34.712 34.511 34.331 34.168 34.021 33.888 33.769 33.667
40.8 40.71 40.613 40.506 40.397 40.296 40.204 40.121 40.049 39.988 39.943 39.916 39.911 39.926 39.955 39.99 40.017 40.026 40.018 39.994 39.96 39.919 39.878 39.836 39.783 39.717 39.641 39.561 39.49 39.441 39.412 39.403 39.409 39.427 39.427 39.389 39.319 39.225 39.112 38.978 38.824 38.655 38.471 38.28 38.09 37.91 37.75 37.612 37.493 37.387 37.293 37.205 37.115 37.017 36.909 36.795 36.674 36.548 36.408 36.246 36.057 35.841 35.594 35.319 35.048 34.806 34.589 34.394 34.218 34.059 33.916 33.789 33.678
40.8 40.72 40.632 40.536 40.431 40.325 40.226 40.138 40.059 39.992 39.935 39.893 39.871 39.868 39.884 39.909 39.94 39.963 39.967 39.955 39.929 39.892 39.85 39.808 39.764 39.707 39.635 39.554 39.471 39.399 39.348 39.319 39.309 39.315 39.33 39.325 39.281 39.208 39.111 38.996 38.857 38.697 38.521 38.331 38.133 37.936 37.751 37.584 37.436 37.305 37.188 37.081 36.983 36.884 36.774 36.657 36.534 36.406 36.275 36.131 35.963 35.771 35.55 35.302 35.039 34.785 34.555 34.348 34.161 33.989 33.832 33.691 33.567
40.8 40.73 40.652 40.567 40.474 40.372 40.269 40.175 40.091 40.017 39.954 39.901 39.864 39.845 39.847 39.864 39.887 39.914 39.935 39.937 39.923 39.894 39.856 39.814 39.771 39.725 39.663 39.586 39.502 39.415 39.34 39.287 39.257 39.246 39.247 39.252 39.236 39.185 39.106 39.003 38.879 38.731 38.563 38.378 38.179 37.971 37.762 37.563 37.379 37.213 37.063 36.926 36.8 36.682 36.563 36.437 36.306 36.172 36.034 35.895 35.744 35.568 35.367 35.145 34.907 34.658 34.416 34.193 33.986 33.793 33.611 33.439 33.282
